Index,Mapped Sections,Confidence Factor,Mapped Port Name,Annotation,Module Type,Module Name,Port I/O,Port Width,Parent Module,Level,Alias Entity Location,Line
1,,,-,,package,CONV_PACK_a23_wishbone,-,-,Root,1,-,1883
2,4.5.3.2,"('4.5.3.2', '0.71'), ('4.5.4', '0.71'), ('4.5.4.1', '0.71'), ('1.8', '0.67')",-,,record,UNSIGNED,-,-,CONV_PACK_a23_wishbone,2,-,1889
3,4.4,"('4.4', '0.71'), ('4.5.2', '0.71'), ('2.4', '0.71'), ('1.8', '0.61')",-,,package,axi4s_pkg,-,-,Root,1,-,7220
4,,,-,,record,AXI4S_PORTS_ARRAY_TYPE,-,-,axi4s_pkg,2,-,7263
5,4.4,"('4.4', '0.67'), ('4.5.2', '0.67'), ('1.8', '0.67'), ('2.4', '0.67')",-,,record,axi4s_type,-,-,axi4s_pkg,2,-,7312
6,,,-,,record,ll_type,-,-,axi4s_pkg,2,-,7325
7,,,-,,record,dsl_axi_type,-,-,axi4s_pkg,2,-,7335
8,1.8,"('1.8', '0.62')",-,,record,axi4s_vector_type,-,-,axi4s_pkg,2,-,7342
9,,,-,,record,ll_vector_type,-,-,axi4s_pkg,2,-,7344
10,,,-,,record,dsl_vector_type,-,-,axi4s_pkg,2,-,7346
11,,,-,,record,natural_vector,-,-,axi4s_pkg,2,-,7348
12,4.5.3.2,"('4.5.3.2', '0.7'), ('4.5.4', '0.7'), ('4.5.4.1', '0.7'), ('5.5.2.2', '0.67')",-,,record,register_vector,-,-,axi4s_pkg,2,-,7350
13,,,-,,record,sel_array_type,-,-,axi4s_pkg,2,-,7353
14,,,-,,record,data_width_vector,-,-,axi4s_pkg,2,-,7355
15,,,-,,record,stream_pos_vector,-,-,axi4s_pkg,2,-,7357
16,6.4,"('6.4', '0.61'), ('6.3', '0.61')",-,,function,tx_dst_lookup,-,-,axi4s_pkg,2,-,7359
17,,,-,,package,axi4s_switch_pkg,-,-,Root,1,-,7385
18,,,-,,record,io_array,-,-,axi4s_switch_pkg,2,-,7390
19,,,-,,function,cal_new_tag,-,-,axi4s_switch_pkg,2,-,7392
20,,,-,,function,cal_wait_queue,-,-,axi4s_switch_pkg,2,-,7397
21,,,-,,function,cal_dest_queue,-,-,axi4s_switch_pkg,2,-,7404
22,,,-,,function,vector_and_or,-,-,axi4s_switch_pkg,2,-,7412
23,,,-,,function,cal_output_select,-,-,axi4s_switch_pkg,2,-,7416
24,,,-,,function,output_select_gen,-,-,axi4s_switch_pkg,2,-,7420
25,,,-,,function,natural_vector_or,-,-,axi4s_switch_pkg,2,-,7424
26,4.5.3.3,"('4.5.3.3', '0.67'), ('4.5.3.2', '0.67')",-,,function,count_ones,-,-,axi4s_switch_pkg,2,-,7428
27,,,-,,package,sha3_pkg,-,-,Root,1,-,7662
28,,,-,,record,rom_pad64bit_type,-,-,sha3_pkg,2,-,7712
29,,,-,,record,rom_pad32bit_type,-,-,sha3_pkg,2,-,7721
30,,,-,,function,shrx,-,-,sha3_pkg,2,-,7727
31,,,-,,function,shlx,-,-,sha3_pkg,2,-,7728
32,4.5,"('4.5', '0.67'), ('4.4', '0.67'), ('4.3', '0.67')",-,,function,rorx,-,-,sha3_pkg,2,-,7729
33,,,-,,function,rolx,-,-,sha3_pkg,2,-,7730
34,,,-,,function,log2,-,-,sha3_pkg,2,-,7732
35,,,-,,function,switch_endian_byte,-,-,sha3_pkg,2,-,7734
36,,,-,,function,switch_endian_word,-,-,sha3_pkg,2,-,7735
37,,,-,,function,GF_SQ_SCL_2,-,-,sha3_pkg,2,-,7737
38,,,-,,function,GF_SCL_2,-,-,sha3_pkg,2,-,7738
39,,,-,,function,GF_MUL_2,-,-,sha3_pkg,2,-,7739
40,,,-,,function,GF_MUL_SCL_2,-,-,sha3_pkg,2,-,7740
41,,,-,,function,GF_INV_2,-,-,sha3_pkg,2,-,7741
42,,,-,,function,GF_SQ_2,-,-,sha3_pkg,2,-,7742
43,,,-,,function,MUL_X,-,-,sha3_pkg,2,-,7743
44,,,-,,function,MUL_MX,-,-,sha3_pkg,2,-,7744
45,,,-,,function,GF_INV_4,-,-,sha3_pkg,2,-,7745
46,,,-,,function,GF_MUL_4,-,-,sha3_pkg,2,-,7746
47,,,-,,function,GF_SQ_SCL_4,-,-,sha3_pkg,2,-,7747
48,,,-,,function,GF_INV_8,-,-,sha3_pkg,2,-,7748
49,5.5.3.1,"('5.5.3.1', '0.67')",-,,component,csa,-,-,sha3_pkg,2,-,7751
50,,,,,port,a,IN,32,csa,3,-,7751
51,,,,,port,b,IN,32,csa,3,-,7752
52,4.5,"('4.5', '0.8'), ('4.4', '0.8'), ('1.4', '0.8'), ('4.5.5', '0.8'), ('4.3', '0.8'), ('5.5.3.1', '0.8'), ('1.8', '0.8'), ('6.4', '0.8'), ('6.3', '0.8'), ('2.3', '0.8'), ('5.5.2.2', '0.8'), ('4.5.3.2', '0.8'), ('4.5.3.3', '0.8'), ('2.5', '0.8'), ('2.4', '0.8'), ('4.5.4', '0.67'), ('4.5.4.1', '0.67')",,,port,cin,IN,32,csa,3,-,7753
53,,,,,port,s,OUT,32,csa,3,-,7754
54,4.5.3.2,"('4.5.3.2', '0.89'), ('4.5.3.3', '0.89'), ('1.4', '0.86'), ('4.5.5', '0.86'), ('5.5.3.1', '0.86'), ('6.4', '0.86'), ('6.3', '0.86'), ('4.5', '0.67'), ('4.3', '0.67'), ('1.8', '0.67'), ('2.3', '0.67'), ('4.4', '0.67'), ('2.5', '0.67'), ('2.4', '0.67')",,,port,cout,OUT,32,csa,3,-,7755
55,,,-,,component,fcca,-,-,sha3_pkg,2,-,7761
56,4.5.4.1,"('4.5.4.1', '0.92'), ('4.5.4', '0.91')",-,,component,pc,-,-,sha3_pkg,2,-,7769
57,,,-,,component,regn,-,-,sha3_pkg,2,-,7783
58,,,-,,component,d_ff,-,-,sha3_pkg,2,-,7798
59,4.5,"('4.5', '0.67'), ('4.5.3.2', '0.67'), ('4.5.4', '0.67'), ('4.3', '0.67'), ('4.4', '0.67'), ('5.5.3.1', '0.67'), ('4.5.4.1', '0.67'), ('6.4', '0.67'), ('6.3', '0.67'), ('2.3', '0.67'), ('5.5.2.2', '0.67'), ('2.5', '0.67'), ('2.4', '0.67')",-,,component,piso,-,-,sha3_pkg,2,-,7807
60,4.5,"('4.5', '0.67'), ('5.5.2.2', '0.67'), ('4.3', '0.67'), ('4.4', '0.67'), ('6.4', '0.67'), ('6.3', '0.67'), ('2.3', '0.67'), ('2.5', '0.67'), ('2.4', '0.67')",-,,component,sipo,-,-,sha3_pkg,2,-,7821
61,4.5.3.3,"('4.5.3.3', '0.77'), ('4.5.3.2', '0.77'), ('4.5.2', '0.67'), ('4.5.5', '0.67'), ('5.5.3.1', '0.67'), ('1.8', '0.67'), ('6.4', '0.67'), ('6.3', '0.67'), ('5.5.2.2', '0.67')",-,,component,countern,-,-,sha3_pkg,2,-,7834
62,,,,,port,a,IN,32,countern,3,-,7759
63,,,,,port,b,IN,32,countern,3,-,7760
64,,,,,port,s,OUT,32,countern,3,-,7761
65,,,,,port,c,IN,32,countern,3,-,7762
66,,,,,port,d,IN,32,countern,3,-,7763
67,,,,,port,e,IN,32,countern,3,-,7764
68,5.5.2.2,"('5.5.2.2', '0.67')",,,port,s0,OUT,32,countern,3,-,7765
69,,,,,port,s1,OUT,32,countern,3,-,7766
70,,,,,port,s2,OUT,32,countern,3,-,7767
71,1.4,"('1.4', '0.92'), ('5.5.3.1', '0.92'), ('5.5.3', '0.91')",,,port,clk,IN,1,countern,3,-,7768
72,4.5.3.2,"('4.5.3.2', '0.92'), ('5.5.3.1', '0.92'), ('5.5.3', '0.91'), ('4.5.3', '0.91')",,,port,rst,IN,,countern,3,-,7769
